SSN,CHAMPIONSHIP_TEAMS_ID,Name,Address,Birth_date,Position,University,Years_team,Class,Time_allstar
111111100,1,Jared James,"123 Peachtree, Atlanta, GA",1966-10-10,forward,WWU,3,freshman,3
111111101,1,Jon Jones,"111 Allgood, Atlanta, GA",1967-11-14,center,WWU,3,sophomore,3
111111102,1,Justin Mark,"2342 May, Atlanta, GA",1966-01-12,quarterback,WWU,1,junior,2
222222200,1,Evan Wallis,"134 Pelham, Milwaukee, WI",1958-01-16,offensive guard,WWU,1,senior,4
222222201,1,Josh Zell,"266 McGrady, Milwaukee, WI",1954-05-22,defense,WWU,4,freshman,3
222222203,1,Tom Brand,"112 Third St, Milwaukee, WI",1966-12-16,running back,WWU,2,sophomore,2
222222204,1,Jenny Vos,"263 Mayberry, Milwaukee, WI",1967-11-11,wide receiver,WWU,6,junior,2
222222205,2,Chris Carter,"565 Jordan, Milwaukee, WI",1960-03-21,forward,UW,2,senior,4
333333300,2,Kim Grace,"6677 Mills Ave, Sacramento, CA",1970-10-23,center,UW,6,freshman,2
333333301,2,Jeff Chase,"145 Bradbury, Sacramento, CA",1970-01-07,quarterback,UW,6,sophomore,3
444444400,2,Alex Freed,"4333 Pillsbury, Milwaukee, WI",1950-10-09,offensive guard,UW,4,junior,1
444444401,2,Bonnie Bays,"111 Hollow, Milwaukee, WI",1956-06-19,defense,UW,4,senior,4
444444402,2,Alec Best,"233 Solid, Milwaukee, WI",1966-06-18,running back,UW,3,freshman,4
444444403,2,Sam Snedden,"987 Windy St, Milwaukee, WI",1977-07-31,wide receiver,UW,3,sophomore,2
555555500,3,John James,"7676 Bloomington, Sacramento, CA",1975-06-30,forward,CWU,4,junior,1
555555501,3,Nandita Ball,"222 Howard, Sacramento, CA",1969-04-16,center,CWU,3,senior,3
666666600,3,Bob Bender,"8794 Garfield, Chicago, IL",1968-04-17,quarterback,CWU,3,freshman,3
666666601,3,Jill Jarvis,"6234 Lincoln, Chicago, IL",1966-01-14,offensive guard,CWU,5,sophomore,2
666666602,3,Kate King,"1976 Boone Trace, Chicago, IL",1966-04-16,defense,CWU,2,junior,1
666666603,3,Lyle Leslie,"417 Hancock Ave, Chicago, IL",1963-06-09,running back,CWU,4,senior,4
666666604,3,Billie King,"556 Washington, Chicago, IL",1960-01-01,wide receiver,CWU,3,freshman,2
666666605,4,Jon Kramer,"1988 Windy Creek, Seattle, WA",1964-08-22,forward,UBC,4,sophomore,2
666666606,4,Ray King,"213 Delk Road, Seattle, WA",1949-08-16,center,UBC,2,junior,2
666666607,4,Gerald Small,"122 Ball Street, Dallas, TX",1962-05-15,quarterback,UBC,2,senior,3
666666608,4,Arnold Head,"233 Spring St, Dallas, TX",1967-05-19,offensive guard,UBC,4,freshman,2
666666609,4,Helga Pataki,"101 Holyoke St, Dallas, TX",1969-03-11,defense,UBC,4,sophomore,2
666666610,4,Naveen Drew,"198 Elm St, Philadelphia, PA",1970-05-23,running back,UBC,2,junior,2
666666611,4,Carl Reedy,"213 Ball St, Philadelphia, PA",1977-06-21,wide receiver,UBC,5,senior,3
666666612,5,Sammy Hall,"433 Main Street, Miami, FL",1970-01-11,forward,SPU,5,freshman,2
666666613,5,Red Bacher,"196 Elm Street, Miami, FL",1980-05-21,center,SPU,5,sophomore,1
666666614,5,James Borg,"450 Stone, Houston, TX",1927-11-10,quarterback,SPU,6,junior,2
666666615,5,Jeffrey Geoffrey,"451 Stone, Houston, TX",1927-11-11,offensive guard,SPU,4,senior,1
666666616,5,VIKKI SCHEUERLEIN,"452 Stone, Houston, TX",1927-11-12,defense,SPU,6,freshman,1
666666617,5,VERLA SCHEXNYDER,"453 Stone, Houston, TX",1927-11-13,running back,SPU,1,sophomore,1
666666618,5,ROSELYN SCHIEFERDECKER,"454 Stone, Houston, TX",1927-11-14,wide receiver,SPU,5,junior,2
666666619,6,MELVINA SCHINTZIUS,"455 Stone, Houston, TX",1927-11-15,forward,EWU,1,senior,3
666666620,6,JANNETTE SCHLENVOGT,"456 Stone, Houston, TX",1927-11-16,center,EWU,1,freshman,4
666666621,6,GINNY SCHNEIR,"457 Stone, Houston, TX",1927-11-17,quarterback,EWU,3,sophomore,1
666666622,6,ANISSA SCUTCHFIELD,"458 Stone, Houston, TX",1927-11-18,offensive guard,EWU,6,junior,2
666666623,6,VIVIANA SEADORF,"459 Stone, Houston, TX",1927-11-19,defense,EWU,1,senior,3
666666624,6,TWYLA SEARE,"460 Stone, Houston, TX",1927-11-20,running back,EWU,1,freshman,1
666666625,6,SHARYN SETCHEL,"461 Stone, Houston, TX",1927-11-21,wide receiver,EWU,4,sophomore,1
666666626,7,CHANTAL SETKA,"462 Stone, Houston, TX",1927-11-22,forward,Gonzaga,2,junior,4
666666627,7,NIKI SGARLATO,"463 Stone, Houston, TX",1927-11-23,center,Gonzaga,6,senior,4
666666628,7,MAUD SHAFRON,"464 Stone, Houston, TX",1927-11-24,quarterback,Gonzaga,2,freshman,1
666666629,7,LIZETTE SHAMLOO,"465 Stone, Houston, TX",1927-11-25,offensive guard,Gonzaga,4,sophomore,4
666666630,7,LINDY SHCHERBAKOV,"466 Stone, Houston, TX",1927-11-26,defense,Gonzaga,3,junior,1
666666631,7,PATRICIA PATRICIA,"467 Stone, Houston, TX",1927-11-27,running back,Gonzaga,1,senior,4
666666632,7,PATRICIA JOHNSON,"468 Stone, Houston, TX",1927-11-28,wide receiver,Gonzaga,6,freshman,3
